"","V1","bird","sex","tissue","treatment","group","study","BRCA1","PRL","study2"
"1","L.Blu13_male_pituitary_control.NYNO","L.Blu13","male","pituitary","control","male.pituitary.control","charcterization",7.60968630080517,17.0335687350916,"charcterization"
"2","L.G107_male_pituitary_control","L.G107","male","pituitary","control","male.pituitary.control","charcterization",7.34199918073518,18.1458463352522,"charcterization"
"3","L.G118_female_pituitary_control.NYNO","L.G118","female","pituitary","control","female.pituitary.control","charcterization",7.40506842847175,18.1809440813639,"charcterization"
"4","L.R3_male_pituitary_control.NYNO","L.R3","male","pituitary","control","male.pituitary.control","charcterization",7.4756056752783,16.7858476182767,"charcterization"
"5","L.R8_male_pituitary_control","L.R8","male","pituitary","control","male.pituitary.control","charcterization",7.54881783804345,17.5822471362484,"charcterization"
"6","L.W33_male_pituitary_control","L.W33","male","pituitary","control","male.pituitary.control","charcterization",7.33706489664582,20.2096874107855,"charcterization"
"7","L.W3_male_pituitary_control","L.W3","male","pituitary","control","male.pituitary.control","charcterization",7.482487315689,17.9180365354594,"charcterization"
"8","L.W4_male_pituitary_control","L.W4","male","pituitary","control","male.pituitary.control","charcterization",7.3534921407425,17.2796549056695,"charcterization"
"9","R.G106_female_pituitary_control","R.G106","female","pituitary","control","female.pituitary.control","charcterization",7.56718938739285,17.2700051274098,"charcterization"
"10","R.R20_female_pituitary_control","R.R20","female","pituitary","control","female.pituitary.control","charcterization",7.66130464737762,18.8827060846899,"charcterization"
"11","R.R9_female_pituitary_control.NYNO","R.R9","female","pituitary","control","female.pituitary.control","charcterization",7.49080678711886,17.1122272493139,"charcterization"
"12","R.W44_female_pituitary_control.NYNO","R.W44","female","pituitary","control","female.pituitary.control","charcterization",7.6650534578765,18.9413616845827,"charcterization"
"13","R.Y108.W29_male_pituitary_control","R.Y108.W29","male","pituitary","control","male.pituitary.control","charcterization",7.36754156218278,18.0703965984596,"charcterization"
"14","blk.s030.o.g_male_pituitary_prolong","blk.s030.o.g","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.30105128014749,17.1330797287806,"timing"
"15","blk.s031.pu.d_female_pituitary_prolong","blk.s031.pu.d","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.41024209805339,19.0101357257444,"timing"
"16","blk.s032.g.w_female_pituitary_m.hatch","blk.s032.g.w","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.85047158992821,20.7564337050184,"removal"
"17","blk.s049.y.g_female_pituitary_m.inc.d3","blk.s049.y.g","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.46466317682148,17.5886516424376,"removal"
"18","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","blk.s060.pu.w","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.37487621039366,18.169308368854,"removal"
"19","blk.s061.pu.y_female_pituitary_inc.d9","blk.s061.pu.y","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.25486905280516,17.8583838583731,"charcterization"
"20","blk.y.l.s109_female_pituitary_m.inc.d8","blk.y.l.s109","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.43517199997976,18.0413353917123,"timing"
"21","blk0.x_female_pituitary_m.n2","blk0.x","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.73104122668878,20.0846453557934,"removal"
"22","blk11.x_female_pituitary_bldg","blk11.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.37110788402462,17.9227433609958,"charcterization"
"23","blk12.x_male_pituitary_n5","blk12.x","male","pituitary","n5","male.pituitary.n5","charcterization",8.2542382266768,20.483396615694,"charcterization"
"24","blk17.x_male_pituitary_inc.d17","blk17.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.78320022492572,20.4096031089448,"charcterization"
"25","blk19.x_female_pituitary_extend","blk19.x","female","pituitary","extend","female.pituitary.extend","manipulation",8.02082844723693,21.1400505047122,"timing"
"26","blk21.x_female_pituitary_hatch","blk21.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.59527291369228,20.7400630789133,"charcterization"
"27","blk4.x_female_pituitary_n9","blk4.x","female","pituitary","n9","female.pituitary.n9","charcterization",7.4597016760646,19.5392985008176,"charcterization"
"28","blk5.x_male_pituitary_m.inc.d3","blk5.x","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.38957225335725,17.8339377139483,"removal"
"29","blu.o.x.ATLAS_female_pituitary_control","blu.o.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization",7.75884392171324,21.2198555763889,"charcterization"
"30","blu10.w26.x_male_pituitary_m.hatch","blu10.w26.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.6017490382769,19.082245419695,"removal"
"31","blu103.x_female_pituitary_hatch.NYNO","blu103.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.45804259276834,20.2748903575104,"charcterization"
"32","blu104.w120.x_male_pituitary_hatch.NYNO","blu104.w120.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",8.25888042376263,21.4950701404623,"charcterization"
"33","blu108.w40.o158_male_pituitary_inc.d9","blu108.w40.o158","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization",7.23235966109524,17.3571751505702,"charcterization"
"34","blu111.w113.x_male_pituitary_inc.d3","blu111.w113.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.25190682868444,14.828595942497,"charcterization"
"35","blu113.w124.x_male_pituitary_inc.d17.NYNO","blu113.w124.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.89530295516338,20.5045923441932,"charcterization"
"36","blu114.r38.w198_male_pituitary_bldg","blu114.r38.w198","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.06689684369487,16.7720781653957,"charcterization"
"37","blu115.y150.x_female_pituitary_inc.prolong","blu115.y150.x","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.57024825554843,19.1307205774027,"timing"
"38","blu119.w84.x_female_pituitary_m.inc.d8","blu119.w84.x","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.27007141500767,17.7827192316576,"timing"
"39","blu121.w91.x_male_pituitary_inc.d17","blu121.w91.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",8.06310844848752,20.794803866433,"charcterization"
"40","blu124.w180.x_female_pituitary_hatch","blu124.w180.x","female","pituitary","hatch","female.pituitary.hatch","charcterization",7.77396992646479,21.0186889317376,"charcterization"
"41","blu33.y88.x_male_pituitary_bldg","blu33.y88.x","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.27843235647512,17.4656304624485,"charcterization"
"42","blu36.w16_female_pituitary_n9","blu36.w16","female","pituitary","n9","female.pituitary.n9","charcterization",7.39585503487644,19.0352375876671,"charcterization"
"43","blu37.r65.x_male_pituitary_n5","blu37.r65.x","male","pituitary","n5","male.pituitary.n5","charcterization",7.79954536627698,20.3210164488801,"charcterization"
"44","blu38.g135.x_female_pituitary_bldg","blu38.g135.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.4202501221459,17.2551012527265,"charcterization"
"45","blu39.o26.x_female_pituitary_inc.d3.NYNO","blu39.o26.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.29242012260062,17.8459754722486,"charcterization"
"46","blu41.y100.x_male_pituitary_n5","blu41.y100.x","male","pituitary","n5","male.pituitary.n5","charcterization",7.70784868841343,20.4031979730259,"charcterization"
"47","blu44.y102_female_pituitary_extend","blu44.y102","female","pituitary","extend","female.pituitary.extend","manipulation",7.56650933536119,19.8663430972962,"timing"
"48","blu47.y96.x_female_pituitary_inc.d9","blu47.y96.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.57473775179472,18.0566128198277,"charcterization"
"49","blu55.g51_female_pituitary_n5","blu55.g51","female","pituitary","n5","female.pituitary.n5","charcterization",7.7474199916903,20.3126414070549,"charcterization"
"50","blu56.o53_female_pituitary_m.inc.d3","blu56.o53","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.36156686181015,18.1700702458003,"removal"
"51","blu63.g62_female_pituitary_m.inc.d9","blu63.g62","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.57229693257042,17.0347811650646,"removal"
"52","blu80.r97_female_pituitary_m.inc.d8","blu80.r97","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation",7.13356102664586,18.481923058525,"timing"
"53","blu81.r88_male_pituitary_n9","blu81.r88","male","pituitary","n9","male.pituitary.n9","charcterization",7.08834904678549,19.8972613065327,"charcterization"
"54","blu84.x_male_pituitary_extend.hatch","blu84.x","male","pituitary","extend","male.pituitary.extend","manipulation",7.7233671729103,20.5420886182955,"timing"
"55","d.r.blk.s159_female_pituitary_m.inc.d9","d.r.blk.s159","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.48917501321045,17.8145049056556,"removal"
"56","d.s008.y.blk_male_pituitary_n5","d.s008.y.blk","male","pituitary","n5","male.pituitary.n5","charcterization",7.47935526934918,20.2792995549314,"charcterization"
"57","d.s047.blk.o_male_pituitary_n5","d.s047.blk.o","male","pituitary","n5","male.pituitary.n5","charcterization",7.44599665937877,19.9801008548222,"charcterization"
"58","d.s110.g.blk_male_pituitary_m.inc.d3","d.s110.g.blk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.250714256304,15.7550661340011,"removal"
"59","d.s112.blk.w_female_pituitary_m.inc.d17","d.s112.blk.w","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.8547264572469,19.721486410284,"removal"
"60","d.s177.blk.r_female_pituitary_m.inc.d3","d.s177.blk.r","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.5043897808181,17.5095440973029,"removal"
"61","g.blk.s004.pk_female_pituitary_lay","g.blk.s004.pk","female","pituitary","lay","female.pituitary.lay","charcterization",7.39902072535385,17.5326653762579,"charcterization"
"62","g.blk.s041.r_male_pituitary_m.inc.d3","g.blk.s041.r","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.43528322184667,16.9860327172215,"removal"
"63","g.o.y.s037_male_pituitary_m.inc.d17","g.o.y.s037","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.97240483766816,19.2606604341681,"removal"
"64","g.s.blk.d_male_pituitary_n9","g.s.blk.d","male","pituitary","n9","male.pituitary.n9","charcterization",7.58625995134549,19.2896234402427,"charcterization"
"65","g.s.blk.y_male_pituitary_lay","g.s.blk.y","male","pituitary","lay","male.pituitary.lay","charcterization",7.39670917503645,17.8608612413293,"charcterization"
"66","g.s043.pu.blk_male_pituitary_lay","g.s043.pu.blk","male","pituitary","lay","male.pituitary.lay","charcterization",7.07221194823132,17.6646764613237,"charcterization"
"67","g.s075.pk.pu_male_pituitary_m.hatch","g.s075.pk.pu","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.50305541299853,18.9150272615182,"removal"
"68","g.s076.pk.r_female_pituitary_m.hatch","g.s076.pk.r","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.45150616331423,19.5691125535668,"removal"
"69","g.s078.blk.o_female_pituitary_lay","g.s078.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization",7.16583370335352,16.8269219148121,"charcterization"
"70","g.s111.r.blk_male_pituitary_m.inc.d8","g.s111.r.blk","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.43754079831323,16.8285172378182,"timing"
"71","g.s179.o.pk_male_pituitary_m.inc.d8","g.s179.o.pk","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.13277390993826,10.3068359273273,"timing"
"72","g.s351.pk.w_male_pituitary_extend","g.s351.pk.w","male","pituitary","extend","male.pituitary.extend","manipulation",7.47386501218297,20.3826351935131,"timing"
"73","g.y.blk.s006_female_pituitary_m.inc.d17","g.y.blk.s006","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.20614588970563,19.2078670326084,"removal"
"74","g.y.o.s_male_pituitary_prolong","g.y.o.s","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.9624209428394,20.696753591995,"timing"
"75","g104.w82.x_male_pituitary_bldg","g104.w82.x","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.30493519457157,16.7048661647611,"charcterization"
"76","g114.w83.x_male_pituitary_hatch.NYNO","g114.w83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.69146499643683,19.4740128716787,"charcterization"
"77","g130.y81.x_male_pituitary_inc.d17","g130.y81.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",8.01519025373276,20.407154207336,"charcterization"
"78","g137.r24.w5_male_pituitary_m.inc.d8","g137.r24.w5","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation",7.38033683648864,17.7989426800351,"timing"
"79","g141.blu27.x_female_pituitary_bldg","g141.blu27.x","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.25863680282815,16.6770546532852,"charcterization"
"80","g142.r40.x_female_pituitary_inc.d17","g142.r40.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization",7.61063733716074,20.4269253165274,"charcterization"
"81","g143.blu32.x_male_pituitary_inc.d17","g143.blu32.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization",7.41532871644587,17.5808253481259,"charcterization"
"82","g144.r54.x_female_pituitary_m.inc.d3","g144.r54.x","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation",7.33804220474693,18.4092374311133,"removal"
"83","g146.blu51_male_pituitary_inc.d3","g146.blu51","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.24103253717222,16.9696026173366,"charcterization"
"84","g17.w108.x_female_pituitary_extend","g17.w108.x","female","pituitary","extend","female.pituitary.extend","manipulation",7.24682365867119,20.7778318047268,"timing"
"85","g20.w106.x_male_pituitary_inc.d3","g20.w106.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization",7.34176618943075,17.9993146616721,"charcterization"
"86","g22.blu118_female_pituitary_extend","g22.blu118","female","pituitary","extend","female.pituitary.extend","manipulation",7.30952163851821,20.8421377396996,"timing"
"87","g3.g119.w20_male_pituitary_extend","g3.g119.w20","male","pituitary","extend","male.pituitary.extend","manipulation",7.32409864013718,20.433051126375,"timing"
"88","g32.blu79_male_pituitary_m.inc.d17","g32.blu79","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.4870154892112,18.9549369916043,"removal"
"89","g34.x_male_pituitary_m.hatch","g34.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation",7.64747004384453,19.8903880657363,"removal"
"90","g38.x_male_pituitary_inc.prolong","g38.x","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.51964412371279,19.0728431187427,"timing"
"91","g52.blu58_male_pituitary_bldg","g52.blu58","male","pituitary","bldg","male.pituitary.bldg","charcterization",7.34289765029491,17.1952954053744,"charcterization"
"92","g53.y84_male_pituitary_hatch","g53.y84","male","pituitary","hatch","male.pituitary.hatch","charcterization",7.69229882763077,20.706573134414,"charcterization"
"93","g6.w197.x_female_pituitary_inc.d3","g6.w197.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization",7.56732416462713,18.3489820488125,"charcterization"
"94","g63.blu65_female_pituitary_m.inc.d17","g63.blu65","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.37713038231128,19.7667220769911,"removal"
"95","g73.x_female_pituitary_m.inc.d9","g73.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation",7.2708303356069,17.3416518811386,"removal"
"96","g75.x_female_pituitary_inc.d9","g75.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization",7.48669790298968,17.5939365642526,"charcterization"
"97","g8.y197_male_pituitary_extend","g8.y197","male","pituitary","extend","male.pituitary.extend","manipulation",7.34533778471104,20.5144339686819,"timing"
"98","l.s.o.blk_male_pituitary_extend","l.s.o.blk","male","pituitary","extend","male.pituitary.extend","manipulation",7.58552113779607,20.5861755313151,"timing"
"99","l.s.w.d_female_pituitary_m.hatch","l.s.w.d","female","pituitary","m.n2","female.pituitary.m.n2","manipulation",7.89950254873089,20.1271164906161,"removal"
"100","l.s024.y.g_male_pituitary_m.inc.d17","l.s024.y.g","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation",7.58003341356988,19.8000794327205,"removal"
"101","l.s052.pk.r_female_pituitary_prolong","l.s052.pk.r","female","pituitary","prolong","female.pituitary.prolong","manipulation",8.24785073990989,20.925404427485,"timing"
"102","l.s080.blk.r_male_pituitary_prolong","l.s080.blk.r","male","pituitary","prolong","male.pituitary.prolong","manipulation",7.51523598612316,18.1829398931615,"timing"
"103","l.s120.y.blk_female_pituitary_bldg","l.s120.y.blk","female","pituitary","bldg","female.pituitary.bldg","charcterization",7.17351430942535,16.2609523341476,"charcterization"
"104","l.s166.o.w_female_pituitary_prolong","l.s166.o.w","female","pituitary","prolong","female.pituitary.prolong","manipulation",7.55177300478064,20.6574891903997,"timing"
"105","l.s280.g.blk_male_pituitary_m.inc.d9","l.s280.g.blk","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.45066768024861,18.0222040484066,"removal"
"106","o.d.s009_male_pituitary_m.inc.d9","o.d.s009","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation",7.55100273569365,17.5463828956415,"removal"
"107","o.s.w.r_male_pituitary_lay","o.s.w.r","male","pituitary","lay","male.pituitary.lay","charcterization",7.41799203710203,17.8920890885899,"charcterization"
"108","o.s010.r.blk_male_pituitary_m.inc.d3","o.s010.r.blk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation",7.42366899302486,16.5746877197807,"removal"
"109","o.s084.w.blk_female_pituitary_m.inc.d17","o.s084.w.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation",7.42873742862605,19.4490559219307,"removal"
